Studienname,Uni/Hochschule,Stadt,Master-Info
Maschinenbau,Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Wilhelmshaven,Master of Engineering | 2 Semester (Vollzeit)
Maschinenbau,Karlsruher Institut für Technologie, Karlsruhe,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Ostbayerische Technische Hochschule Regensburg, Regensburg,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Otto-von-Guericke-Universität Magdeburg, Magdeburg,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Ruhr-Universität Bochum, Bochum,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Technische Hochschule Augsburg, Augsburg,"Master of Engineering | 3 oder 6 Semester (Vollzeit, Teilzeit, dual)"
Maschinenbau,Technische Hochschule Bingen, Bingen am Rhein,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Technische Hochschule Deggendorf, Deggendorf,Master of Engineering | 3 Semester (Vollzeit)
Maschinenbau,Technische Hochschule Georg Agricola Bochum, Bochum,Master of Engineering | 6 Semester (Teilzeit)
Maschinenbau,Technische Hochschule Köln, Köln,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Technische Hochschule Mittelhessen - Campus Gießen, Gießen,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Technische Hochschule Nürnberg Georg Simon Ohm, Nürnberg,"Master of Engineering | 3 Semester (Vollzeit, dual)"
Maschinenbau,Technische Hochschule Ostwestfalen-Lippe, Lemgo,Master of Science (M.Sc.) | 4 Semester (Vollzeit)
Maschinenbau,Technische Hochschule Wildau, Wildau,"Master of Engineering | 3 Semester (Vollzeit, Teilzeit)"
Maschinenbau,Technische Universität Bergakademie Freiberg, Freiberg,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Technische Universität Berlin, Berlin,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Technische Universität Braunschweig, Braunschweig,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Technische Universität Chemnitz, Chemnitz,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Technische Universität Clausthal, Clausthal-Zellerfeld,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Technische Universität Darmstadt, Darmstadt,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Technische Universität Dortmund, Dortmund,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Technische Universität Ilmenau, Ilmenau,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Universität Bayreuth, Bayreuth,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Universität Duisburg-Essen - Campus Duisburg, Duisburg,"Master of Science | 3 oder 5 Semester (Vollzeit, Teilzeit)"
Maschinenbau,Universität Kassel, Kassel,Master of Science | 3 Semester (Vollzeit)
Maschinenbau,Universität Paderborn, Paderborn,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Universität Rostock, Rostock,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Universität Siegen, Siegen,Master of Science | 4 Semester (Vollzeit)
Maschinenbau,Westfälische Hochschule, Gelsenkirchen,Master of Engineering | 4 Semester (Vollzeit)
Maschinenbau (deutsch-französischer Studiengang),Hochschule für Technik und Wirtschaft des Saarlandes, Saarbrücken,Master of Science | 4 Semester (Vollzeit)
Maschinenbau (deutsch-französisches Studienprogramm),Hochschule Mannheim, Mannheim,Doppel-Master (deutsch-französisch) | 3 Semester (Vollzeit)
Maschinenbau - Erneuerbare Energien,Berliner Hochschule für Technik (BHT), Berlin,Master of Engineering | 3 Semester (Vollzeit)
